Fecha,Gas licuado de petróleo,Gasolina regular,Gasolina superior,Diesel alto azufre,Total importación
may-16,"416,912.47","528,347.81","615,900.31","1,035,544.08","3,210,221.96"
jun-16,"703,319.23","397,477.40","502,082.45","800,222.53","2,904,070.46"
jul-16,"455,823.14","526,652.73","618,366.10","859,222.62","2,900,274.25"
ago-16,"588,310.54","512,202.57","625,218.90","701,185.75","3,023,562.62"
sep-16,"306,543.41","567,786.57","677,892.97","1,274,128.31","3,128,712.73"
oct-16,"717,388.57","455,850.76","546,154.65","927,923.50","2,819,270.50"
nov-16,"505,975.98","476,784.16","725,548.16","957,656.05","3,254,339.16"
dic-16,"584,807.19","473,659.59","526,573.96","1,303,735.78","3,549,503.52"
ene-17,"567,345.82","527,564.90","748,233.58","842,993.49","2,936,978.82"
feb-17,"279,527.23","469,140.06","497,707.41","844,676.98","2,340,252.77"
mar-17,"780,048.59","608,144.98","734,984.24","1,351,787.92","4,322,010.07"
abr-17,"530,578.14","681,303.11","632,843.41","1,406,022.43","3,918,889.22"
may-17,"604,702.55","386,088.18","442,311.09","889,926.86","2,593,330.05"
jun-17,"487,244.19","519,389.66","582,374.34","902,659.00","2,915,829.91"
jul-17,"510,428.14","433,026.08","769,214.06","994,338.30","2,849,217.56"
ago-17,"538,582.14","592,103.31","607,368.72","846,696.35","3,292,901.32"
sep-17,"350,294.57","316,435.22","401,678.98","925,397.87","2,341,819.50"
oct-17,"584,709.61","574,073.61","657,241.76","740,198.57","3,088,136.41"
nov-17,"935,986.51","434,963.36","504,247.31","1,135,350.10","3,173,510.32"
dic-17,"595,421.43","679,441.47","803,216.88","1,305,047.55","3,683,675.54"
ene-18,"396,363.05","571,858.06","535,784.70","1,153,831.89","2,912,134.23"
feb-18,"591,000.02","509,366.10","629,467.91","921,684.12","3,229,913.18"
mar-18,"644,245.40","563,899.06","529,507.15","889,227.10","3,188,604.61"
abr-18,"188,590.81","510,830.00","617,512.28","696,962.77","2,306,558.19"
may-18,"636,234.13","580,825.11","580,329.35","1,592,580.34","3,943,859.32"
jun-18,"618,811.33","463,620.61","558,257.59","777,679.91","2,611,811.52"
jul-18,"584,386.15","543,333.77","784,601.77","793,683.41","3,292,959.25"
ago-18,"408,658.63","663,834.04","541,557.34","1,281,364.78","3,215,972.55"
sep-18,"449,846.76","454,442.87","536,897.09","896,266.43","2,889,025.05"
oct-18,"600,230.45","726,044.35","663,440.34","992,682.04","3,618,804.23"
nov-18,"598,626.16","534,084.49","509,382.86","899,588.34","2,945,785.64"
dic-18,"614,887.00","535,639.97","631,652.56","792,198.66","3,187,742.62"
ene-19,"414,086.12","702,923.37","684,504.84","1,195,728.20","3,505,419.78"
feb-19,"460,518.80","469,437.28","521,555.38","1,208,476.16","3,189,074.42"
mar-19,"384,425.56","678,145.38","704,276.53","1,550,052.84","3,839,044.27"
abr-19,"670,633.92","867,761.34","656,495.95","1,215,209.05","4,126,817.59"
may-19,"623,466.22","596,798.22","568,128.41","1,011,872.87","3,487,600.14"
jun-19,"612,732.27","712,731.80","629,788.43","1,029,100.90","3,705,525.54"
jul-19,"667,486.78","531,577.64","516,273.85","1,056,569.11","2,901,188.41"
ago-19,"586,430.65","896,841.31","713,859.98","1,167,556.89","3,616,711.53"
sep-19,"850,778.21","518,043.68","491,194.71","717,490.02","2,997,273.94"
oct-19,"225,207.04","712,672.38","691,407.73","1,160,570.85","3,529,098.65"
nov-19,"610,868.12","791,039.02","658,706.42","1,122,990.69","3,366,673.20"
dic-19,"600,003.85","731,012.24","797,580.75","1,098,972.39","3,759,839.25"
ene-20,"715,600.32","629,414.90","573,220.63","999,181.20","3,060,000.75"
feb-20,"451,331.70","741,509.07","611,314.13","1,237,018.37","4,195,542.75"
mar-20,"643,278.89","735,491.29","809,640.18","1,367,335.14","4,225,647.93"
abr-20,"510,349.93","329,134.18","453,153.09","834,366.52","2,354,671.64"
may-20,"616,381.45","415,805.82","170,292.50","691,066.44","2,234,178.42"
jun-20,"467,664.76","683,322.72","415,672.19","1,066,148.05","3,099,449.08"
jul-20,"675,337.54","451,717.75","347,541.59","779,930.57","3,019,007.62"
ago-20,"634,320.07","547,899.55","414,416.34","791,258.19","2,529,518.54"
sep-20,"315,527.09","591,799.83","563,742.50","1,021,360.83","2,914,431.43"
oct-20,"960,840.53","861,840.54","733,692.01","891,340.69","3,678,195.88"
nov-20,"328,603.13","696,600.14","570,262.17","1,152,909.51","3,391,204.48"
dic-20,"684,160.08","780,347.28","777,450.55","1,050,560.83","3,757,338.09"
ene-21,"475,619.49","626,537.48","642,652.37","1,185,644.96","3,449,656.47"
feb-21,"617,783.16","715,261.34","726,508.78","1,076,824.67","3,310,059.43"
mar-21,"549,815.26","772,750.01","850,334.64","1,345,110.18","4,097,942.26"
abr-21,"664,443.94","634,408.89","1,227,173.53","1,250,171.58","4,068,053.08"
may-21,"678,501.06","669,085.78","649,783.14","1,279,017.24","4,011,568.33"
jun-21,"466,658.55","833,544.64","623,695.20","1,440,106.47","3,700,529.32"
jul-21,"665,263.10","833,732.31","689,717.29","1,110,409.53","3,744,992.59"
ago-21,"746,002.48","664,522.74","685,977.45","1,175,960.64","4,056,073.17"
sep-21,"689,829.47","844,430.03","646,233.31","896,539.24","3,470,994.35"
oct-21,"696,346.90","522,701.11","589,405.56","1,542,473.57","3,941,139.44"
nov-21,"524,186.50","692,267.31","623,392.63","1,029,780.80","3,300,037.64"
dic-21,"679,415.09","785,313.56","640,981.15","1,294,042.31","4,004,470.54"
ene-22,"657,185.74","848,902.97","947,226.27","1,438,571.28","4,672,884.85"
feb-22,"673,218.30","723,925.74","673,653.80","1,217,495.31","3,992,168.58"
mar-22,"713,553.44","772,406.10","592,318.21","1,246,975.12","4,551,733.41"
abr-22,"693,964.40","906,104.05","493,958.32","1,284,453.73","4,315,257.42"
may-22,"667,272.19","762,776.12","663,348.94","1,306,786.77","3,856,563.83"
jun-22,"265,773.77","641,348.46","556,311.96","1,032,070.53","3,395,598.64"
jul-22,"717,652.72","987,872.05","611,115.01","1,116,548.97","3,654,793.97"
ago-22,"735,253.72","657,942.72","378,627.69","1,299,910.96","4,182,335.16"
sep-22,"421,303.21","869,579.64","551,589.72","1,077,517.90","3,168,497.23"
oct-22,"717,849.25","718,920.20","529,832.42","980,527.08","3,930,782.55"
nov-22,"691,237.42","754,135.86","595,870.42","1,136,760.55","4,141,806.21"
dic-22,"671,444.61","841,323.98","602,458.30","1,082,107.64","3,813,624.91"
ene-23,"497,780.69","909,391.13","578,792.14","1,442,099.08","3,718,295.98"
feb-23,"652,984.71","725,101.20","685,183.06","1,267,967.39","4,577,891.30"
mar-23,"711,978.35","803,262.67","633,849.05","1,317,519.91","4,115,430.48"
abr-23,"647,666.30","922,032.39","572,201.36","1,417,182.73","4,008,478.54"
may-23,"713,348.99","947,633.29","668,478.73","1,428,099.62","4,850,360.10"
